Name,Annotated?,Categories Correct,Total Points,Game Number,Input
LS,TRUE,1,3,48,"[[' SEAL', 'ROB', 'HOSE', ' STIFF'], [' HEAD', 'FLEECE', ' BULB', ' STALK'], l' CANDLE', ' HONEYCOMB', 'CRAYON', ' EAR'], ['CABIN', ' NOSE', ' ENGINE', 'WING']]"
SR,TRUE,4,10,57,"[['CHAPTER', ' STAGE', ' PERIOD', ' PHASE'], [' WHEEL', ' TANK', ' SHOCK', ' DASH'], [' CHORAL', ' READ', ' ROWS', ' BLEW'], [' ISSUE', ' SUBJECT', ' POINT', ' MATTER']]"
MM,TRUE,4,10,62,"[[' EYE', ' BABY', ' WISDOM', ' SWEET'], [' META', ' APPLE', 'ALPHABET', ' AMAZON'], [' BAR', ' PHYSICAL', ' FINAL', ' ORAL'], [' BEAUTY', ' GEM', ' PEACH', ' MARVEL']]"
SR,TRUE,2,3,70,"[[' ZEBRA', ' PANDA', ' SKUNK', 'ORCA'], [' DESERT', ' WIND', ' TOURIST', ' SAND'], [' BASS', ' DOVE', ' SPEED', ' BEAR'], [' TRAIN', ' STRING', ' CHAIN', ' SERIES']]"
LS,TRUE,4,10,78,"[[' HOARSE', 'HAIR', ' WAIL', ' DEAR'], 'ANGEL', ' PIRATE', ' CLOWN', ' WITCH'], [' SPELL', ' STRETCH', ' PERIOD', ' WHILE'], [' COMB', ' HONEY', ' HIVE','WAX']]"
CM,TRUE,4,10,81,"[[' OFTEN', ' STONE', ' CANINE', ' FREIGHT'], [' CHARM', ' PULL', ' APPEAL', ' DRAW'], [' BRACELET', 'BELT', ' WATCH', ' TIE'], [' ROUTINE', ' BIT', ' JOKE', ' SKETCH']]"
CM,TRUE,4,10,82,"[[' WINK', ' JIFFY', ' SECOND', ' FLASH'], [' RUSH', 'ELEVENTH', ' BROADWAY', ' AMATEUR'], [' BROADWAY', ' MADISON', ' PARK', ' FIFTH'], [' CHIEF', ' MAIN', ' PRINCIPAL', ' FIRST']]"
LS,TRUE,2,4,86,"[[' FORK', ' SPLIT', ' PART', ' DIVIDE], ['BADGER', ' NAG', ' BUG', ' HOUND'], [' ARENA', ' DOME', ' FIELD'], [' FOX', ' LINING', ' SPOON', ' BOWL', ' SCREEN']]"
SR,TRUE,4,10,96,"[[' HAIR', ' LETTUCE', ' STEAM', ' STATE'], [' GUARANTEE', ' LOCK', ' SECURE', ' CLINCH'], [' MARK', ' SCRATCH', ' NICK', ' CHIP'], [' ROLL', ' LOAF', ' BUN', 'BAGUETTE']]"
LS,TRUE,2,5,97,"[[' ELECTRIC', ' WATER', 'CABLE', ' FIRE'], [' AUDITORY', ' ACOUSTIC', ' SONIC', ' HEARD'], [' HYPE', ' AMP', ' GAS', ' PUMP'], [' COUPLE', 'TIE', ' HITCH','LINK']"
PS,TRUE,4,10,98,"[[' TRAFFIC', ' NBA', ' PAPER', ' PEARL'], [' CHECK', ' CURB', ' CAP', ' LIMIT'], [' CHEST', ' BIN', ' HAMPER', 'BASKET'], [' HOOP', ' BAND', ' RING', ' CIRCLE']]"
MM,TRUE,4,10,102,"[[' COUNTER', ' DIP', ' BAG', ' SPROUT'], [' CRAM', ' PACK', ' JAM', ' STUFF'], [' ISLAND', ' ATOLL', ' BAR', ' KEY'], ['BEDROOM', ' STUDY', ' DEN', ' KITCHEN']]"
LS,TRUE,4,10,103,"[[' SUM', ' COUNT', 'TOTAL', ' GROSS'], [' SCAT', ' SING', 'HUM', ' WHISTLE'], [' MINT', ' RUM', 'SODA', ' LIME'], ['TAPE', ' STICK', ' GUM', ' GLUE']]"
MM,TRUE,4,10,105,"[[' SIS', ' 96', ' MOW', ' NOON'], [' QUANTITY', ' VOLUME', ' AMOUNT', ' NUMBER'], [' PRIVATE', 'HIDDEN', ' SECRET', ' REMOTE'], [' CHANNEL', ' SOUND', ' CANAL', ' STRAIT']]"
SR,TRUE,4,10,109,"[' HIP', ' HOT', 'IN', 'CHIC, [' MOLAR', 'TUSK', 'CANINE', 'FANG'], I' VAMPIRE', ' VACUUM', ' LEECH', ' STRAW'], I' ROBOT, 'WORM', 'FLOSS', ' VOGUE']]"
MM,TRUE,4,10,111,"[[' LABOR', ' MAY', ' EARTH', ' GROUNDHOG'], [' AUGUST', ' REGAL', ' NOBLE', ' GRAND'], ['BIRTH', ' CREATION', ' START', ' DAWN'], [' STRIDE', ' MARCH', ' STEP', ' TREAD']]"
PS,TRUE,4,10,120,"[[' MACE', ' SWORD', ' CLUB', ' SPEAR'], [' SECRET', ' OLD SPICE', ' DEGREE', ' AXE'], [' DILL', ' NUTMEG', ' SAGE', 'ANISE'], [' SHARP', ' QUICK', ' SMART', ' BRIGHT']]"
CM,TRUE,4,10,127,"[[' KNOCK', ' THERE', ' TUT', ' HEAR'], [' WHY', ' SEE', ' YOU', ' ARE'], [' THOUGH', ' YET', 'HOWEVER', ' STILL'], [' FLUSH', ' JELLY', ' WE', ' FAMILY']]"
MM,TRUE,1,1,129,"[[' UH', ' HEM', ' UM', ' ERM'], [' LIKE', ' SUBSCRIBE', 'FOLLOW', ' SHARE'], [' DARN', ' WELL', ' HOUSE', ' RATCHED'], [' SEW', ' ER', ' SEAM', ' SCRUBS']]"
PS,TRUE,4,10,135,"[[' LATHER', ' FROTH', ' FOAM', ' BUBBLE'], [' GROW', 'BUILD', ' MOUNT', ' SWELL'], [' GLOBE', ' PEARL', ' HEAD', ' MARBLE'], [' ACES', ' KEEN', ' NIFTY', ' NEATO']]"
LS,TRUE,4,10,136,"[['SWAN', ' LADY', 'RING', 'DRUMMER'], ['COUGH, CORN, MAPLE, SIMPLE'], ['HEAVENS, MERCY, GOODNESS, LORD'], ['PAST', 'PRESENT', 'PERFECT', 'FUTURE']]"
MM,TRUE,4,10,142,"[[' FOOD', ' FORWARD', ' FASHION', ' FRIENDS'], [' FIREFLY', ' FLEABAG', ' FARGO', ' FLIPPER'], [' FAKE', ' FORGE', ' FIX', 'FABRICATE'], [' FIDDLESTICKS', ' FUDGE', ' FRICK', ' FIE']]"
LS,TRUE,0,0,144,"[[' STAR', 'RASPBERRY', ' CANDY', ' LEMON'], [' BOMB', 'IGNORE', ' DESERT', 'GHOST'], [' BOTTOM', ' FLOP', 'GARDEN', ' DUD], ['BOO', ' JEER', ' JILT' HISS']]"
PS,TRUE,1,4,146,"[[' YANK', ' TUG', ' JERK', ' FIND'], [' BABE', ' CHARLOTTE', ' WILLY', ' BEETHOVEN'], [' COPY', 'FILE', ' SAVE', ' PRINT'], [' SAW', ' WRENCH', ' HAMMER', ' LEVEL']]"
PS,TRUE,4,10,148,"[[' DUDE', ' STALLION', ' CREATOR', ' RAPPER'], [' PINTO', ' LIMA', 'FAVA', ' KIDNEY'], [' VERSE', ' RHYME', ' METER', ' LINE'], [' LIMERICK', ' LUXOR', ' LINCOLN', ' LAGOS']]"
CM,TRUE,2,4,149,"[[' STRAP', ' HAND', ' NOSE', ' DIAL', ' CROWN'], [' FAUCET', ' MASCARA', ' CANDIDATE'], [' LASSO', ' SHIELD', ' SWORD', ' TIARA'], [' MASK', ' HIDE', ' COVER', 'BLOCK']]"
PS,TRUE,4,10,150,"[[' SCRAP', ' BUTCHER', ' TOILET', ' WAX'], [' MAY', ' MIGHT', ' CAN', ' COULD'], [' CUT', 'ACTION', ' LIGHTS', ' CAMERA'], [' PRIME', ' TOP', ' LEAD', ' HEAD']]"
LS,TRUE,1,2,153,"[[' ROCK', ' SANDWICH', 'COMIC', ' READING'], ['MET', ' SHOWER', ' BATH', ' SOAP], [' SERVICE', ' RECEPTION', ' BARS', ' SIGNAL'], ['ANNIVERSARY','DERBY', ' WEDDING', ' BIRTHDAY']]"
CM,TRUE,4,10,161,"[[' SHY', ' SHORT', ' WANTING', ' LOW'], [' DIAMOND', ' SPADE', 'CLUB', ' HEART'], [' PUTTER', ' WEDGE', ' WOOD', ' IRON'], [' LONG', ' ACHE', ' THIRST', ' PINE']]"
SR,TRUE,4,10,162,"[[' GLASS', ' METAL', ' PLASTIC', ' PAPER'], [' CRITICAL', 'CENTRAL', ' KEY', ' VITAL'], [' HENRY', ' KATE', ' JENNIFER', ' ROCK'], [' TIRED', ' TEMPO', ' ASSIGNMENT', ' DEFEAT']]"
SR,TRUE,4,10,167,"[[' BIRD', ' MAMMAL', ' REPTILE', ' FISH'], [' WHISK', 'GRATER', ' PEELER', ' LADLE'], [' CLEAVER', ' BUNKER', ' TANNER', ' PARTRIDGE'], [' MUSHROOM', ' DINOSAUR', ' PRINCESS', ' PLUMBER']]"
SR,TRUE,4,10,172,"[[' POCKET', ' CUFF', ' BUTTON', ' COLLAR'], [' TIE', ' LINK', ' BOND', ' RELATION'], [' WINDOW', ' HISTORY', ' TAB', 'BOOKMARK'], [' DOZEN', ' JOKE', ' MARTINI', ' LAUNDRY']]"
CM,TRUE,2,3,175,"[[' NEW YORK', ' PEPPERMINT PATTY', ' ROCK N ROLL', ' PIGPEN'], [' WITCH', ' WOLF', 'GIANT', ' PRINCESS'], [' CHARLIE', ' YOU', ' WOODSTOCK', ' LUCY'], [' QUEEN', ' BISHOP', ' MATE', ' GAMBIT']]"
PS,TRUE,4,10,176,"[[' ENVY', ' SEEDY', ' EXCEL', ' CUTIE'], [' GLOW', ' SHINE', ' RADIATE', ' BEAM'], [' VAULT', ' RINGS', ' HORSE', ' FLOOR'], [' GOAT', ' SHEEP', ' COW', 'BUFFALO']]"
PS,TRUE,4,10,181,"[[' LION', ' CHANGE', ' LEGS', ' CUCUMBER'], [' BOTTOM', ' FOUNDATION', ' FOOT', ' BASE'], [' TOUCAN', ' CAPYBARA', 'ANACONDA', ' JAGUAR'], [' GREASE', ' COMPANY', ' RENT', ' HAIR']]"
MM,TRUE,4,10,183,"[[' UP', ' CARS', ' COCO', ' BRAVE'], [' CIDER', ' PORT', ' SAKE', ' STOUT'], [' HEART', 'ESSENCE', ' SOUL', ' SPIRIT'], [' SCOTCH', ' DEMO', ' TICKER', ' RED']]"
MM,TRUE,4,10,185,"[[' DRAGON', ' RABBIT', ' TIGER', ' HORSE'], [' AGENT', ' MOLE', ' PLANT', ' SPY'], [' GOBLIN', 'GNOME', ' OGRE', ' TROLL'], [' PETAL', ' STALK', ' BUD', ' LEAF']]"
MM,TRUE,4,10,197,"[[' WHALE', ' WOODCARVER', ' CRICKET', ' PUPPET'], [' SHINDIG', ' BLOWOUT', 'BASH', ' PARTY'], [' ISLAND', ' EGG', ' BUNNY', ' SUNDAY'], [' SINK', ' RANGE', ' COUNTER', ' MIXER']]"
SR,TRUE,2,3,199,"[[' HANDLEBAR', ' PEDAL', ' WHEEL', ' GEAR'], [' STUBBLE', ' GOATEE', 'BEARD', ' MUSTACHE'], [' FOLLOW', ' TRACK', ' SHADOW', ' TAIL'], [' MOVIE', ' VOTE', ' DOG', ' DOUBT']]"
LS,TRUE,0,0,201,"[['UTAH','MONTANTA,' KANSAS, NEVADA'],[''YES, RUSH, MUG, GENESIS], ['SOPRANO, COLORADO, HAWK, STARK],[ARIZONA, SQUIRT, CRUSH, SQUIRT]]"
