Name,Annotated?,Categories Correct,Total Points,Game Number,Input
Sam,TRUE,1,1,56,"[[' LEAD', ' CENTER', ' DIRECT', ' END', ' RUN'], [' TABLE', ' STALL', ' CHAIR'], [' PASS', 'BADGE', ' TICKET', ' INVITE'], [' HOLD', ' SAFETY', ' PUNT', ' TACKLE']]"
AS,TRUE,4,10,57,"[[' TANK', ' WHEEL', ' DASH', ' SHOCK'], [' STAGE', ' CHAPTER', ' PHASE', ' PERIOD'], [' SUBJECT', ' POINT', ' MATTER', 'ISSUE'], [' ROWS', ' BLEW', ' CHORAL', ' READ']]"
Sam,TRUE,1,1,58,"[[' SALES', ' ELEVATOR', ' FEVER', ' PHEW'], [' SOLID', ' LIQUID', 'GAS', ' PLASMA'], [' GREAT', ' PHAT', ' LEGEND', ' PERFECT'], [' ICON', ' PHILLY', ' PHISH', ' HERO']]"
AS,TRUE,2,4,59,"[[' LOG', ' SHRED', ' FLUE', ' POKER'], [' SLICE', ' GRATE', ' CRUMBLE', ' MELT'], [' DICE', ' CHIPS', ' SLOTS', ' CARDS'], [' CURSE', ' HEX', 'CHARM', ' SPELL']]"
HS,TRUE,2,5,60,"[[' DUST', ' HEAT', 'SMOKE', ' POLLEN], ['BROOM, 'RAG', ' MOP', ' SPONGE'], [' PEPPER', ' FAT', 'ACID', ' SALT'], [' MAGNUM', 'SHAFT', 'TRACY', 'MONK']]"
Sam,TRUE,0,0,62,"[[' PHYSICAL', ' AMAZON', ' FINAL', ' BABY'], [' MARVEL', ' SWEET', ' GEM', ' BEAUTY'], [' PEACH', ' META', ' BAR', ' APPLE'], [' EYE', ' WISDOM', ' ORAL', 'ALPHABET']]"
Saf,TRUE,1,3,63,"[[' AFRO', ' LOCK', ' BONE', ' FIGHT'], [' DISCO', ' ROCK', 'FUNK', ' SWING'], [' FOUL', ' MUSK', ' ODOR', ' TANG'], [' SWAY', ' GUTTER', ' CRYSTAL', ' WAVE']]"
SS,TRUE,4,10,64,"[[' ADULT', 'KISS', 'TIMES', 'TEN'], [' TOP', ' MAX', 'PEAK', ' HEIGHT'], ['JOSH', ' KID', 'TEASE', 'RIB'], [' SCORE', ' DOZEN', 'GROSS', 'PAIR']]"
HS,TRUE,2,4,66,"[[' X', ' CHECK', 'MARK', ' TICK], ['TIP, 'COLE', ' MIKE', ' TAP'], [' WIRE', ' 40', 'BUG', ' PAIN'], [' GLIDE', 'FLOAT', 'SOAR', 'FLY']]"
SP,TRUE,1,1,67,"[[' LETTUCE', ' BACON', ' BREAD', 'TOMATO'], [' TALK', ' RUN', ' HIT', ' WALK'], [' CLOG', ' BLOCK', ' JAM', 'DOUBLE','STOP'], [' WORLD', ' FRY', ' WONDER'']]"
AP,TRUE,2,3,70,"[[' BASS', ' DOVE', ' SPEED', ' BEAR'], [' SAND', ' TOURIST', ' WIND', ' DESERT'], [' TRAIN', ' SERIES', ' CHAIN', ' STRING'], ['ORCA', ' PANDA', ' SKUNK', ' ZEBRA']]"
BS,TRUE,0,0,73,"[['WARNING', 'INK', 'GHOST', 'OMEN'], ['BLACK', 'PASTEL', 'CHARCOAL', 'PAINT'], ['PROF', 'DR', 'MS', 'SIGN'], ['GEN', 'REV', 'BELL', 'MESSAGE']]"
KFD,TRUE,1,1,76,"[['MELLOW', 'MILD', 'SOFT', 'LIGHT'], ['EYELASH', 'BELLY', 'SHOULDER'], ['TABLET, 'HOCK', 'DICE', 'CHOP', 'DANDELION'], ['CROWN', 'ROBE', 'TORCH', 'CANDLE']]"
SP,TRUE,0,0,77,"[[' DOWN', ' DROP', ' DASH'], [' STRAW', ' ON BOARD', 'BOAT', ' TRAIN', ' PLANE'], [' SPLASH', ' GOOSE', ' CAR'], [' IN', ' PINCH', ' BLUE', ' RASP', ' GAME']]"
AP,TRUE,4,10,79,"[[' MYSELF', ' IOTA', ' IODINE', ' ONE'], [' DIRECT', ' LEAD', ' GUIDE', ' STEER'], [' HIDDEN', ' UNCANNY', ' DEATH', ' SILICON'], [' WASHER', ' HAMPER', ' IRON', 'DRYER']]"
KFD,TRUE,4,10,82,"[['PRINCIPAL', 'FIRST', 'MAIN', 'CHIEF'], ['FIFTH', 'BROADWAY', 'MADISON', 'PARK'], ['AMATEUR, 'HAPPY', 'RUSH', 'ELEVENTH'], ['FLASH', 'JIFFY', 'WINK', 'SECOND']]"
AP,TRUE,4,10,84,"[[' SPLASH', ' THUD', ' BANG', ' PLOP'], [' RUSE', ' TRICK', ' PLOT', ' PLOY'], [' PLOW', 'HOE', ' SICKLE', ' RAKE'], [' PLEASE', ' AMUSE', ' DELIGHT', ' TICKLE']]"
Sam,TRUE,1,3,86,"[[' SPOON', ' NAG', ' LINING', ' BOWL'], [' BUG', ' HOUND', ' FOX', 'BADGER'], [' DOME', ' FIELD', ' SCREEN', ' ARENA'], [' FORK', ' DIVIDE', ' SPLIT', ' PART']]"
KFD,TRUE,1,2,91,"[['FLOAT', 'SHAKE', 'SUNDAE', 'FINGERS'], ['BOLT', 'SCREW', 'NAIL', 'RIVET'], ['PALM', 'WICKET', 'NOTE', 'SPLIT'], ['RICE', 'PEANUT', 'CORN', 'OLIVE']]"
KFD,TRUE,1,4,95,"[['HUMOR', 'PAPER', 'FICTION', 'POETRY'], ['HUGE', 'TRAVEL', 'GREAT', 'GIANT', 'BIG'], ['WHOOPING', 'FRASIER', 'CONSTRUCTION'], ['GLEE', 'CHEERS', 'EUPHORIA', 'FELICITY']]"
Sam,TRUE,0,0,98,"[[' CHECK', ' CIRCLE', ' PAPER', ' TRAFFIC'], [' CHEST', ' PEARL', ' BIN', ' BAND'], [' HOOP', ' RING', ' NBA', 'BASKET'], [' CAP', ' CURB', ' LIMIT', ' HAMPER']]"
SS,TRUE,0,0,100,"[['CREAM', 'ROPE', 'COTTAGE', 'STRING], ['HOBBES', ' WATSON', 'SAY', ' REBECCA'], ['NOTORIOUS', 'DODGE', 'SKIRT', 'ESCAPE], ['GOOSE', 'DUCK', 'ROBIN', 'BIRDS']]"
Maria,TRUE,4,10,104,"[[' LITTLE', ' JUSTICE', ' IVY', ' PREMIER'], [' COUNTY', 'CITY', ' VILLAGE', ' TOWN'], [' PULSE', ' GRIND', ' CHOP', ' PUREE'], [' EQUITY', ' CAPITAL', ' INTEREST', ' STOCK']]"
AP,TRUE,4,10,105,"[[' MOW', ' NOON', ' SIS', ' 96'], [' QUANTITY', ' VOLUME', ' NUMBER', ' AMOUNT'], [' REMOTE', ' PRIVATE', ' SECRET', 'HIDDEN'], [' CHANNEL', ' SOUND', ' STRAIT', ' CANAL']]"
Maria,TRUE,0,0,106,"[[' LILY', 'KNOCK', ' RAM', ' SLAM', ' MOUSE', ' ALONE', ' MAXI', ' PAN', ' ROAST'], [' JAGUAR', ' FIAT', ' MINI'], [], [' CHOPPED', ' BACHELOR', ' SURVIVOR', ' CATFISH']]"
Maria,TRUE,0,0,107,"[[' JAMES', ' RAPPORT', 'PASTY', ' RAGOUT', ' BOUQUET', ' CURRY'], [' BIRD', ' TURKEY'], [' JORDAN', ' JAPAN', ' TUNISIA', ' POLAND'], [' PIE', ' PARFAIT', ' TART', ' TURNOVER']]"
AS,TRUE,1,1,109,"[[' ROBOT', ' VACUUM', ' FLOSS', ' WORM'], [' STRAW', ' IN', ' LEECH', ' VAMPIRE'], ['CANINE', ' FANG', ' TUSK', ' MOLAR'], [' HOT', ' HIP', ' CHIC', ' VOGUE']]"
KFD,TRUE,1,4,112,"[['PEEK', 'PEKE', 'PEAK', 'PIQUE'], ['CHARADE', 'GLIMPSE', 'GLANCE', 'LOOK'], ['RIDGE', 'LEDGE', 'BLUFF', 'CLIFF'], ['GANDER', 'CRAG', 'ACT', 'FRONT']]"
SP,TRUE,0,0,115,"[[' WE', ' WEE', ' W', ' WII'], [' US', ' JA', ' SI', ' PU'], ['EW', ' OK', ' UGH', ' DA'], [' O', ' HAI', ' ICK', ' OUI']]"
SS,TRUE,2,7,116,"[' RED', ' CARPENTER', ' FIRE', ' ADAM'], ['ANGER', ' BEHOLD', ' FEAR', ' HAPPINESS'], [' GET', ' SECURE', ' LAND', ' WIN'], [' SURPRISE', ' TADA', ' PRESTO', ' VOILA']]"
BS,TRUE,1,1,117,"[['SENTENCE', 'PARAGRAPH', 'WORD', 'LETTER'], ['HALLMARK', 'TREE', 'STAMP', 'CARD'], ['TEA', 'FEATURE', 'TRAIT', 'TABLE'], ['BOOK', 'CLOWN', 'CUTUP', 'JOKER']]"
BS,TRUE,0,0,119,"[['TRIPOD', 'ROOM', 'LIGHT', 'BLAST'], ['BALL', 'GRIP', 'SPARE', 'KICK'], ['DOLLY', 'RIOT', 'BOOM', 'CLUE'], ['SHORT', 'LIFE', 'THIN', 'LENS']]"
SP,TRUE,1,2,121,"[[' PROP', ' WTF', ' BLACK', 'SKETCH'], [' SLEEP', ' EXERCISE', ' DIET', ' DIVINE'], [' REPLY ALL', ' COMPOSE', ' FORWARD', 'SEND'], [' FRESH AIR', ' SERIAL', ' RADIOLAB', ' UP FIRST']]"
SP,TRUE,0,0,123,"[[' BING', ' DING', ' CHIME', 'RING'], [' SING', ' SQUEAL', ' SNITCH', ' PING'], [' EDGE', ' DIVISION', ' FACTION', 'SURFACE'], [' WORD', ' RAT', ' WING', ' CAMP']]"
SS,TRUE,4,10,124,"[[' SOUP', ' FUNNY', ' WISH', ' HERRING'], [' SUGAR', ' ICE', ' DIE', ' BOUILLON'], [' VINYL', ' LP', ' PLATTER', ' WAX'], [' OPTION', ' CD', 'BOND', ' STOCK']]"
SP,TRUE,0,0,125,"[[' STEADY', 'EVEN', ' UNIFORM', ' STABLE'], [' ROLLING STONE', ' QUADRANT', ' TRILOGY', ' BILLBOARD'], [' SPIN', ' PIN', ' BICYCLE', ' LANCE'], [' SKEWER', ' PITCHFORK', ' SPIT', ' LEVEL']]"
SS,TRUE,1,1,128,"[[' INTEL', ' REACTOR', ' NEWS', ' INFO'], [' VALLEY', ' GLEN', ' PLANET', ' HOLLOW'], [' LIGHT', ' TORCH', 'BURN', ' KINDLE'], [' COMPUTER', ' DELL', ' DATA', ' APPLE']]"
SP,TRUE,1,2,130,"[['DAISY', ' TULIP', ' ROSE', ' YELLOW', ' ASTER'], [' BARN', ' CHICKEN', ' TRACTOR', ' FARMER'], [' WAN', ' CRAVEN', ' VIOLET'], [' DUST', ' SPORTS', ' CARPENTER', ' LIFE']]"
Saf,TRUE,1,1,131,"[[' SECOND', ' BAMBOO', ' WINK', ' SNOOZE'], [' WING', ' TALON', 'BEAK', ' FEATHER'], [' DRAGON', ' HEARTBEAT', ' PANIC', ' BELLY'], [' HOT', ' FLASH', ' SEASON', ' WIND']]"
Sam,TRUE,1,2,134,"[[' ELEPHANTS', ' TREES', 'BRASS', ' LIBERTY'], [' COPPER', ' NICKEL', ' SILVER', ' GOLD'], [' SPARKS', ' NERVE', ' CHEEK', ' GALL'], [' SWIMMERS', ' SKY', ' MERCURY', ' CARS']]"
HS,TRUE,2,5,135,"[[' MARBLE', ' GLOBE', 'PEARL', ' MOUNT], ['NIFTY, 'NEATO', ' ACES', ' KEEN'], [' LATHER', ' FOAM', 'HEAD', ' FROTH'], [' SWELL', 'BUBBLE', 'GROW', 'BUILD']]"
Maria,TRUE,4,10,136,"[[' DRUMMER', ' RING', ' LADY', ' SWAN'], ['FUTURE', ' PERFECT', ' PRESENT', ' PAST'], [' GOODNESS', ' HEAVENS', ' LORD', ' MERCY'], [' MAPLE', ' SIMPLE', ' COUGH', ' CORN']]"
AS,TRUE,0,0,143,"[[' BOXER', ' KICK', 'BORE', ' TANG', ' TONG', ' BITE', ' DRAG', ' SNOOZE', ' ZIP'], [' GUST', ' BREEZE', ' DRAFT'], [' YAWN', ' PUFF', ' PANT'], [' GOGGLE']]"
AP,TRUE,0,0,144,"[['STAR', ' CANDY', ' GARDEN', 'BOO', ' BOTTOM', ' LEMON', 'GHOST', ' DESERT', 'RASPBERRY'], [' DUD', ' BOMB', ' FLOP'], [' HISS', ' IGNORE', ' JEER', ' JILT']]"
SS,TRUE,1,1,151,"[['SEED', 'SOURCE', 'GENESIS', ' GERM'], ['PLANT', ' WILD', 'RANGER', 'FLAMES'], I'MARK', 'KINGS', 'STARS', ' ACTS'], ['NAP', 'KRAKEN', 'JOB', 'TRIP']]"
Yousuf,TRUE,0,0,153,"[[' ROCK', ' DERBY', ' MET', ' SIGNAL'], [' SANDWICH', ' READING', ' BIRTHDAY', ' COMIC'], [' SHOWER', ' SOAP', ' BATH', ' BARS'], [' WEDDING', ' RECEPTION', ' SERVICE', 'ANNIVERSARY']]"
Sam,TRUE,0,0,154,"[[' DREW', ' HANNAH', ' DALE', ' OTTO'], ['DARREN', ' WILL', ' AARON', ' NATAN'], [' SHARON', ' BROOK', ' KAREN', ' SAVANNA'], [' MAY', ' ROSE', ' EVE', ' CLIFF']]"
Tariq,TRUE,1,4,156,"[[' MET', ' ANGEL', ' RED', ' STONE'], [' TON', ' BUSHEL', ' CHAPTER', ' BRANCH'], [' NAT', ' BEATLE', ' FLEE', ' AUNT'], [' WING', ' PECK', 'ARM', ' CUB']]"
Sam,TRUE,1,2,157,"[[' TIGER', ' CROSSWALK', ' REINDEER'], [' CANDY CANE', 'MISTLETOE', ' STOCKING', ' SNOWMAN'], [' EXHIBIT', ' DISPLAY', ' SHOW', ' PRESENT'], [' BAGEL', ' REFEREE', ' LIFESAVER', ' CHEERIO', ' DONUT']]"
SS,TRUE,4,10,158,"[['LEAD', 'SPEECH', 'TRIAL', 'WATER'], ['PUMA', ' VANS', 'CONVERSE', 'JORDAN'], ['ANGORA', 'ALPACA', ' YAK', 'AFGHAN'], ['GAB', 'BLATHER', 'JABBER', ' CHAT']]"
Sam,TRUE,1,1,159,"[[' ARROW', ' MAPS', ' DOWN', ' DOG'], [' STAND', ' SALUTE', 'BOW', ' KNEEL'], [' FUR', ' SCALES', ' SHELL', ' FINGER'], [' MAIL', ' CLOCK', ' HINT', ' NOTES']]"
KFD,TRUE,1,2,162,"[['CRITICAL', 'VITAL', 'DEFEAT', 'ASSIGNMENT'], ['ROCK', 'KEY', 'CENTRAL', 'TEMPO'], ['KATE', 'HENRY', 'TIRED', 'JENNIFER'], ['METAL', 'GLASS', 'PAPER', 'PLASTIC']]"
Sam,TRUE,1,1,167,"[[' PARTRIDGE', ' FISH', ' MUSHROOM', ' BUNKER'], [' LADLE', ' WHISK', ' PEELER', 'GRATER'], [' MAMMAL', ' REPTILE', ' BIRD', ' DINOSAUR'], [' PLUMBER', ' PRINCESS', ' CLEAVER', ' TANNER']]"
SP,TRUE,0,0,169,"[[' MALT', ' SPLIT', ' SUNDAE'], [' SOLID', ' FIRM', ' CONCRETE', ' TANGIBLE', 'OLD'], [' DASH', ' SHAKE', ' HOVER'], [' KEY', ' FLOAT', ' GLASS', ' SIGNS', 'STAR']]"
Saf,TRUE,1,1,171,"[[' MUG', ' TOO', ' FOR', ' TOTE'], ['BACKUP', ' SPARE', ' EXTRA', ' COPY'], [' ATE', ' PEN', ' LANE', ' ALLEY'], [' WON', ' TEE', ' PIN', ' BALL']]"
Yousuf,TRUE,1,2,173,"[[' SPIRIT', ' SOUTHWEST', ' ALASKA', ' FRONTIER'], [' DRIFTER', ' MARS', ' SHARP', ' ROGERS'], ['BRIGHT', ' SMART', ' QUICK', ' CLEVER'], [' LASSO', ' SHERIFF', ' COWBOY', ' OUTLAW']]"
HS,TRUE,2,6,176,"[[' EXCEL', ' ENVY', 'SEEDY', ' CUTIE], ['BEAM, 'RADIATE', ' SHINE', ' GLOW'], [' RINGS', ' VAULT', 'BUFFALO', ' FLOOR'], [' GOAT', 'HORSE', 'COW', 'SHEEP']]"
BS,TRUE,2,3,178,"[['SCRAM', 'LEAVE', 'GO', 'GET OUT'], ['PEON', 'OPEN', 'NEPO', 'NOPE'], ['US', 'YOU', 'ME', 'THEM'], ['BEANIE', 'PONE', 'SANTA', 'FUR']]"
Sam,TRUE,0,0,181,"[[' GREASE', ' CHANGE', ' RENT', ' TOUCAN'], [' BASE', ' BOTTOM', ' FOOT', ' LEGS'], [' COMPANY', ' HAIR', ' CUCUMBER', ' FOUNDATION'], ['ANACONDA', ' CAPYBARA', ' LION', ' JAGUAR']]"
Maria,TRUE,0,0,184,"[[' RABBIT', ' MAX', ' SHOW', ' PICTURE', ' FRAMED', ' ROAD', ' MET'], [' SALLY', ' ROGER', ' ROCKY', ' HARRY'], [' WHO', ' FURY', ' MAD', 'HORROR', ' WHEN'], []]"
Saf,TRUE,1,1,186,"[[' BONUS', ' PERK', ' SATISFACTION', ' EXTRA'], [' MONTERO', ' I RAN', ' TURKEY', ' ISTANBUL'], ['CHART', ' DIAGRAM', ' MAP', ' GRAPH'], [' STUFFING', ' PIE', ' ICING', ' GRAVY']]"
Tariq,TRUE,1,2,187,"[[' FIRST', ' FOLDING', ' HIGH', ' ZIPPER'], ['BRUSH', ' PALETTE', ' EASEL', ' CANVAS', ' COMB'], [' PARK', ' NEUTRAL', ' DRIVE', ' REVERSE'], [' SAW', ' GEAR', ' LAWN']]"
Yousuf,TRUE,4,10,189,"[[' CLIP', ' BUFF', ' POLISH', ' FILE'], ['BARE', ' NAKED', ' UNCLAD', ' NUDE'], [' BUN', ' TURNOVER', ' MUFFIN', ' DANISH'], [' PUNT', ' SNAP', ' FUMBLE', ' SACK']]"
BS,TRUE,0,0,191,"[['NACHO', 'CHIP', 'CRACKER', 'FRY'], ['NICK', 'YES', 'WING', 'FLAP'], ['DING', 'BINGO', 'CORRECT', 'SCRATCH'], ['APPLE', 'RIGHT', 'LUMBER', 'POPPER']]"
Yousuf,TRUE,1,2,193,"[[' ASH', ' BLACK', ' EBONY', ' RAVEN'], [' JET', ' BOUNCE', ' RUN', ' SPLIT'], [' IBEX', ' LYNX', ' ORYX', ' FOX'], [' CYBER', 'BOOK', ' FAT', ' ONYX']]"
KFD,TRUE,1,1,194,"[['BUCKET', 'WISH', 'FAST ONE', 'TOP TEN'], ['HEAVEN', 'CLOUD NINE', 'PARADISE', 'BLISS'], ['HIGH FIVE', 'GUEST', 'HUG', 'WAVE'], ['SHAKE', 'RACKET', 'HUSTLE', 'CON']]"
AP,TRUE,0,0,195,"[[' HOLE', ' DRIVER', ' INFANT', ' TENDER', ' STROKE', ' SWIMMING', ' PUB', ' TICKER'], [], ['BREAST', ' TOM', ' WING', ' EAGLE'], [' SNARE', ' KICK', ' CYMBAL', ' DRUMSTICK']]"
SS,TRUE,4,10,202,"[['TENT', 'LANTERN', 'SLEEPING BAG', 'COOLER'], ['WEE', 'MINUTE', 'SLIGHT', 'SMALL'], ['JAB', 'DISS', 'BARB', 'DIG'], ['MEDIUM', 'CAMPER', 'MEAL', 'HOUR']]"
AP,TRUE,4,10,188,"[['COW', 'HEN', 'DOE', 'MARE'], ['YEW', 'YOU', 'U', 'EWE'], ['THEY', 'IT', 'I', 'THEM'], ['L', 'V', 'M', 'D']]"
YM,TRUE,1,2,150,"[[' LEAD', ' HEAD', ' TOP', ' TOILET'], [' BUTCHER', ' CUT', ' SCRAP', ' WAX'], ['ACTION', ' CAMERA', ' PRIME', ' LIGHTS'], [' CAN', ' MAY', ' COULD', ' MIGHT']]"
YM,TRUE,1,2,114,"[[' ROT', ' NONSENSE', ' HOGWASH', ' DANE'], [' LEAD', ' GUIDE', ' STEER', ' DIRECT'], [' BUFFALO', ' DEER', 'BULL', ' MOOSE'], [' WHITE', ' SEAL', ' FISH', ' LAKE']]"
YM,TRUE,0,0,85,"[[' MOTTO', ' ANTHEM', ' FLAG', ' CHEAT'], [' SQUAT', ' CROUCH', ' QUACK', ' STOOP'], [' GROUCH', ' GRUMP', ' CRANK', ' CROOK'], [' SHARK', ' SEAL', ' DUCK', 'CRAB']]"
YM,TRUE,1,1,177,"[[' STAN', ' OUT', ' BOGUS', ' OVER'], [' PHONY', ' SHAM', ' COPY', ' FAKE'], [' ALEJANDRO', ' ROGER', ' MICHELLE', ' LOLA'], [' PUPIL', ' RETINA', 'IRIS', ' LENS']]"
