,Allwords,Unweighted Clustering Score,Weighted Clustering Score
17,"BADGER, BUG, HOUND, NAG, ARENA, BOWL, DOME, FIELD, DIVIDE, FORK, PART, SPLIT, FOX, LINING, SCREEN, SPOON",2,4
18,"BAGUETTE, BUN, LOAF, ROLL, CLINCH, GUARANTEE, LOCK, SECURE, CHIP, MARK, NICK, SCRATCH, HAIR, LETTUCE, STATE, STEAM",4,10
19,"CABLE, ELECTRIC, GAS, WATER, ACOUSTIC, AUDITORY, HEARD, SONIC, COUPLE, HITCH, LINK, TIE, AMP, FIRE, HYPE, PUMP",2,5
20,"BASKET, BIN, CHEST, HAMPER, BAND, CIRCLE, HOOP, RING, CAP, CHECK, CURB, LIMIT, NBA, PAPER, PEARL, TRAFFIC",4,10
21,"BEDROOM, DEN, KITCHEN, STUDY, ATOLL, BAR, ISLAND, KEY, CRAM, JAM, PACK, STUFF, BAG, COUNTER, DIP, SPROUT",4,10
22,"HUM, SING, SCAT, WHISTLE, COUNT, GROSS, SUM, TOTAL, LIME, MINT, RUM, SODA, GLUE, GUM, TAPE, STICK",4,10
23,"HIDDEN, PRIVATE, REMOTE, SECRET, AMOUNT, NUMBER, QUANTITY, VOLUME, CANAL, CHANNEL, SOUND, STRAIT, 96, MOW, NOON, SIS",4,10
24,"CANINE, FANG, MOLAR, TUSK, CHIC, HIP, HOT, IN, FLOSS, ROBOT, VOGUE, WORM, LEECH, STRAW, VACUUM, VAMPIRE",4,10
25,"BIRTH, CREATION, DAWN, START, AUGUST, GRAND, NOBLE, REGAL, MARCH, STEP, STRIDE, TREAD, EARTH, GROUNDHOG, LABOR, MAY",4,10
26,"ANISE, DILL, NUTMEG, SAGE, BRIGHT, QUICK, SHARP, SMART, AXE, DEGREE, OLD SPICE, SECRET, CLUB, MACE, SPEAR, SWORD",4,10
27,"HOWEVER, STILL, THOUGH, YET, HEAR, KNOCK, THERE, TUT, ARE, SEE, WHY, YOU, FAMILY, FLUSH, JELLY, WE",4,10
28,"FOLLOW, LIKE, SHARE, SUBSCRIBE, DARN, HEM, SEAM, SEW, ER, HOUSE, RATCHED, SCRUBS, ERM, UH, UM, WELL",1,1
29,"BUILD, GROW, SWELL, MOUNT, ACES, KEEN, NEATO, NIFTY, FOAM, FROTH, HEAD, LATHER, BUBBLE, GLOBE, MARBLE, PEARL",4,10
30,"FUTURE, PAST, PERFECT, PRESENT, GOODNESS, HEAVENS, LORD, MERCY, DRUMMER, LADY, RING, SWAN, CORN, COUGH, MAPLE, SIMPLE",4,10
31,"FABRICATE, FAKE, FIX, FORGE, FIDDLESTICKS, FIE, FRICK, FUDGE, FARGO, FIREFLY, FLEABAG, FLIPPER, FASHION, FOOD, FORWARD, FRIENDS",4,10
32,"BOO, HISS, JEER, RASPBERRY, BOMB, DUD, FLOP, LEMON, DESERT, GHOST, IGNORE, JILT, BOTTOM, CANDY, GARDEN, STAR",0,0
33,"FILE, HAMMER, LEVEL, SAW, JERK, TUG, WRENCH, YANK, COPY, FIND, PRINT, SAVE, BABE, BEETHOVEN, CHARLOTTE, WILLY",1,4
34,"FAVA, KIDNEY, LIMA, PINTO, LAGOS, LIMERICK, LINCOLN, LUXOR, LINE, METER, RHYME, VERSE, CREATOR, DUDE, RAPPER, STALLION",4,10
35,"BLOCK, COVER, HIDE, MASK, CROWN, DIAL, HAND, STRAP, LASSO, SHIELD, SWORD, TIARA, CANDIDATE, FAUCET, MASCARA, NOSE",2,4
36,"ACTION, CAMERA, CUT, LIGHTS, CAN, COULD, MAY, MIGHT, HEAD, LEAD, PRIME, TOP, BUTCHER, SCRAP, TOILET, WAX",4,10
37,"ANNIVERSARY, BIRTHDAY, SHOWER, WEDDING, BARS, RECEPTION, SERVICE, SIGNAL, BATH, DERBY, READING, SANDWICH, COMIC, MET, ROCK, SOAP",1,2
38,"CLUB, DIAMOND, HEART, SPADE, IRON, PUTTER, WEDGE, WOOD, ACHE, LONG, PINE, THIRST, LOW, SHORT, SHY, WANTING",4,10
39,"CENTRAL, CRITICAL, KEY, VITAL, GLASS, METAL, PAPER, PLASTIC, HENRY, JENNIFER, KATE, ROCK, ASSIGNMENT, DEFEAT, TEMPO, TIRED",4,10
40,"GRATER, LADLE, PEELER, WHISK, BIRD, FISH, MAMMAL, REPTILE, DINOSAUR, MUSHROOM, PLUMBER, PRINCESS, BUNKER, CLEAVER, PARTRIDGE, TANNER",4,10
41,"BOOKMARK, HISTORY, TAB, WINDOW, BUTTON, COLLAR, CUFF, POCKET, BOND, LINK, RELATION, TIE, DOZEN, JOKE, LAUNDRY, MARTINI",4,10
42,"GIANT, PRINCESS, WITCH, WOLF, BISHOP, MATE, GAMBIT, QUEEN, CHARLIE, PEPPERMINT PATTY, PIGPEN, WOODSTOCK, LUCY, NEW YORK, ROCK N ROLL, YOU",2,3
43,"BUFFALO, COW, GOAT, SHEEP, BEAM, GLOW, RADIATE, SHINE, FLOOR, HORSE, RINGS, VAULT, CUTIE, ENVY, EXCEL, SEEDY",4,10
44,"ANACONDA, CAPYBARA, JAGUAR, TOUCAN, BASE, BOTTOM, FOOT, FOUNDATION, COMPANY, GREASE, HAIR, RENT, CHANGE, CUCUMBER, LEGS, LION",4,10
45,"ESSENCE, HEART, SPIRIT, SOUL, CIDER, PORT, SAKE, STOUT, BRAVE, CARS, COCO, UP, DEMO, RED, SCOTCH, TICKER",4,10
46,"GNOME, GOBLIN, OGRE, TROLL, BUD, LEAF, PETAL, STALK, AGENT, MOLE, PLANT, SPY, DRAGON, HORSE, RABBIT, TIGER",4,10
47,"BASH, BLOWOUT, PARTY, SHINDIG, CRICKET, PUPPET, WHALE, WOODCARVER, COUNTER, MIXER, RANGE, SINK, BUNNY, EGG, ISLAND, SUNDAY",4,10
48,"BEARD, GOATEE, MUSTACHE, STUBBLE, GEAR, HANDLEBAR, PEDAL, WHEEL, DOG, FOLLOW, TAIL, TRACK, DOUBT, MOVIE, SHADOW, VOTE",2,3
49,"ARIZONA, COLORADO, NEVADA, UTAH, CRUSH, MUG, SPRITE, SQUIRT, GENESIS, KANSAS, RUSH, YES, HAWK, MONTANA, SOPRANO, STARK",0,0
