,Allwords,Unweighted Clustering Score,Weighted Clustering Score,Categorical Reasoning Score
28,"ARENA, BOWL, COLISEUM, DOME, ALLEY, COURT, DRIVE, LANE, FISH, JUSTICE, LIBRA, SOLFEGE, FOUNTAIN, GUTTER, TEAPOT, WHALE",0,0,0
29,"COVER, JACKET, PAGE, SPINE, CALICO, TABBY, TORTOISESHELL, TUXEDO, BUTTERFLY, JITTER, NERVE, WILLY, BEETHOVEN, CORNUCOPIA, KALEIDOSCOPE, PEACOCK",1,1,0
30,"ASIDE, DETOUR, DIGRESSION, TANGENT, BEAR, GENERATE, PRODUCE, YIELD, BABE, FOX, SNACK, TEN, ARE, RADIUS, REVERSE, RIGHT",0,0,0
31,"DOWN, LEFT, RIGHT, UP, BACK, CHAMPION, ENDORSE, SUPPORT, CON, DING, MINUS, STRIKE, BASE, LIAR, LOOT, SYMBOL",2,3,1
32,"CLAY, PAPYRUS, PARCHMENT, WAX, ANCHOR, HOST, MODERATE, PRESENT, FACULTY, FLAIR, INSTINCT, TALENT, BURRITO, GIFT, MUMMY, SPRAIN",2,4,2
33,"KID, RAZZ, RIB, TEASE, BREAST, TENDER, THIGH, WING, CALF, CUB, FAWN, KIT, BARGE, JOSTLE, MUSCLE, SHOULDER",0,0,0
34,"CHARLATAN, FRAUD, QUACK, SHAM, NOISE, PEEP, SOUND, WORD, HAM, HOT DOG, PEACOCK, SHOWBOAT, BUG, PORK, SPEED, TWEET",1,1,1
35,"AREA, DOMAIN, FIELD, SPHERE, FIDDLE, HORN, RECORDER, TRIANGLE, BARRIER, CONE, FLAG, FLARE, CHAIN, FIGHT, PROCESSOR, PYRAMID",0,0,0
36,"CAMPAIGN, CANVASS, ORGANIZE, STUMP, COMPOSITION, FABRIC, MAKEUP, STRUCTURE, CLAMP, FILE, LEVEL, SAW, LOG, MAX, MOD, TAN",1,3,1
37,"FLUID, GRACEFUL, NATURAL, SMOOTH, EFFORT, LABOR, SWEAT, WORK, BATTERY, CHARGE, JUICE, POWER, BURST, DAD, MAINSTREAM, SODA",0,0,0
38,"FLAME, LOVER, STEADY, SWEETHEART, BURN, DIG, JAB, SLIGHT, DIESEL, PLUS, PREMIUM, REGULAR, COFFEE, PERIODIC, POOL, WATER",0,0,0
39,"COURT, PLAZA, SQUARE, YARD, BOUT, CONTEST, MATCH, ROUND, DAZZLE, FLASH, POMP, RITZ, FIRE, HEART, SKULL, SPARKLES",1,3,1
40,"BANK, LAUNDROMAT, POST OFFICE, SUPERMARKET, CHECK, CURB, HAMPER, INHIBIT, PACK, PRIDE, SCHOOL, SWARM, BIDE, CART, NIX, WASHING",0,0,0
41,"CROSS, SHORT, SURLY, TESTY, EXPLORATORY, PILOT, PRELIMINARY, TRIAL, FIDDLER, JERSEY, KINKY, MERRILY, PAN, PARKER, PIPER, RABBIT",2,3,1
42,"ACCEPT, BELIEVE, BUY, TRUST, BLUFF, FRONT, SHAM, SHOW, BASE, BRACKET, MOUNT, STAND, FIFTH, HANDLE, LITER, PINT",2,3,1
43,"POINT, PRONG, TINE, TIP, FAIR, FINE, GOOD, MINT, BUSINESS, FIELD, LINE, TRADE, BRAZIL, BUTTER, DOUGH, PINE",1,1,0
44,"GIANT, MAMMOTH, MONSTER, TITANIC, AVATAR, CHARACTER, FIGURE, PERSONA, APPEAR, LOOK, SEEM, SOUND, CASTLE, HUSTLE, LISTEN, WITCH",2,5,0
45,"AUDITORIUM, GYM, LAB, LIBRARY, BLACK, EVEN, ODD, RED, CHOCOLATE, PEACE, PIGEON, SOAP, GREY, GOLDEN, MOTHER, SILLY",1,1,0
46,"PEN, RULER, SCISSORS, TAPE, ESSENTIAL, KEY, PRINCIPAL, STAPLE, GIVE, HAND, PASS, SEND, APPLAUSE, EXIT, RECORDING, WALK",0,0,0
47,"CHANCE, FORECAST, OUTLOOK, PROSPECT, ATTITUDE, CHEEK, LIP, SASS, BASS, FLUKE, PERCH, PIKE, BRIDGE, LENS, RIM, TEMPLE",1,3,1
48,"JOURNAL, LOG, RECORD, REGISTER, MANE, MOP, SHOCK, TANGLE, CHEER, FRIEND, SCRUB, WEED, FUND, HOG, MAZE, TRIMMER",1,1,0
49,"POINTER, SUGGESTION, TIP, TRICK, GRIT, RESOLVE, SPIRIT, WILL, FREQUENT, HAUNT, PATRONIZE, VISIT, CANINE, FREIGHT, OFTEN, OZONE",0,0,0
50,"CONDENSE, FREEZE, MELT, VAPORIZE, ALTERNATE, BACKUP, COVER, SUB, COPPER, HACK, SHRINK, SUIT, FANTASY, HERO, HONEY, SOMEDAY",0,0,0
51,"ATOM, CELL, MOLECULE, PROTEIN, BOTTLE, CRIB, MOBILE, RATTLE, JUG, SAW, SPOONS, WASHBOARD, DOG, FREEZE, PHONE, PRICE",0,0,0
52,"DESIRE, LONG, PINE, YEN, FORTUNE, MAD, NATURE, O, BOND, M, MONEYPENNY, Q, BUBBLEGUM, EURO, K, POWER",1,3,1
53,"ATTRACTION, CHEMISTRY, FIREWORKS, SPARKS, CACHE, COOKIES, DATA, HISTORY, CYCLE, LAP, TURN, REVOLUTION, BAR, DINNER, LIBERTY, TINKER",2,4,1
54,"BRAINSTORM, IDEATE, SPITBALL, WORKSHOP, CONCRETE, MATERIAL, REAL, SOLID, BIRTHDAY, CRUMB, MARBLE, POUND, CURVEBALL, PARTY, TANTRUM, WRENCH",0,0,0
55,"SQUIRREL, STASH, STORE, STOW, FIXED, FROZEN, LIQUID, TOXIC, CAVEAT, ERGO, QUID, VOX, ARCADE, BLAME, NUMBERS, SQUID",0,0,0
56,"DIRECT, GUIDE, LEAD, USHER, CON, HUSTLE, RACKET, STING, EAGLE, PYRAMID, SEAL, WASHINGTON, BRITISH, NORTHWEST, NOVA, PRINCE",0,0,0
57,"ADAGE, CHESTNUT, MAXIM, SAW, CHARCOAL, ELECTRIC, GAS, WOOD, ASH, CHERRY, EBONY, GUM, FILTER, HEATER, JET, PUMP",2,3,2
58,"TO, TOO, TUE, TWO, COUPLE, TIE, UNITE, WED, LAID, PLACED, PUT, SAT, MAY, SUN, WALL, WILD",1,1,1
59,"CLUTCH, MESSENGER, SATCHEL, TOTE, FREEDOM, LATITUDE, LICENSE, SLACK, CUE, PROMPT, SIGNAL, WORD, BOXER, BRIEF, DRAWER, SHORT",1,1,1
60,"CHASE, HUNT, QUEST, SEARCH, ALWAYS, KISSES, LOVE, YOURS, CAMP, PARTY, SIDE, WING, BOND, LEAF, MINE, RUSH",1,1,1
61,"CAPTAIN, GENERAL, MAJOR, PRIVATE, JACK, OUTLET, PORT, SOCKET, APPETITE, AUDIENCE, DEMAND, MARKET, ATTACK, PERSONAL, POP-UP, WANT",1,1,1
62,"DISH, SPILL, TALK, TELL, BRANCH, FORK, PART, SPLIT, DOORKNOB, KNIFE, TOPKNOT, UNKNOWN, FORMULA, RECIPE, SECRET, TICKET",0,0,0
63,"DELICATE, RAW, SENSITIVE, TENDER, DESSERT, MAIN, SIDE, STARTER, BARE, DEAR, MOUSSE, NEW, CARPET, DELICIOUS, MEAT, TAPE",1,2,1
64,"EASY, ENOUGH, RELAX, QUIET, BUG, CHILL, COLD, COUGH, BREACH, DIVE, SING, SPOUT, MAGIC, MOTOR, SIN, WINDY",0,0,0
65,"CHAIN, TRAIN, SERIES, STRING, DRIVER, IRON, WEDGE, WOOD, BIRDS, FOG, OMEN, RING, BRAT, DOG, FRANK, LINK",1,2,1
66,"FERRIS WHEEL, MERRY-GO-ROUND, ROLLER COASTER, TILT-A-WHIRL, CLEARANCE, GO-AHEAD, GREEN LIGHT, THUMBS-UP, CINDERELLA, DAVID-AND-GOLIATH, RAGS-TO-RICHES, UNDERDOG, BUMPER-TO-BUMPER, BUTTERMILK, RUMPELSTILTSKIN, TAILGATE",1,2,1
67,"NAIL, NUT, SCREW, WASHER, FLY, HOOK, LINE, SINKER, CHAIR, DRYER, MIRROR, SINK, BOLT, BUG, ROD, STRIKE",0,0,0
68,"AYE, FOR, PRO, YEA, COURT, DATE, SEE, WOO, DROVE, HOST, PACK, SEA, AURA, PALM, TAROT, TEA",1,1,1
69,"CHANNEL, MENU, POWER, VOLUME, BLOCK, COVER, SCREEN, SHIELD, CHERRY, OLIVE, SWORD, UMBRELLA, CASINO, DIAMONDS, QUANTUM, TOMORROW",0,0,0
70,"MAIL, POST, SEND, SHIP, BALM, GLOSS, LINER, STAIN, CORNER, FIX, HOLE, SPOT, ANGLE, CRIME, EDUCATION, TEMPERATURE",0,0,0
71,"CONDITION, FORM, SHAPE, STATE, BUSH, COUNTRY, STICKS, WOODS, FLAMINGO, FOUNTAIN, GNOME, PINWHEEL, FAIRY, FISH, FOLK, TALL",0,0,0
72,"DUNK, FLOATER, LAYUP, THREE, PERCH, PIKE, SKATE, SOLE, BODY, BOUNCE, LIFT, VOLUME, FLOWER, ONLY, POSTER, PROBLEM",0,0,0
73,"ARTICLE, ESSAY, PAPER, REPORT, BUBBLE GUM, CARNATION, ERASER, FLAMINGO, FOXTROT, HOTEL, VICTOR, YANKEE, DEPUTY, DEREK JETER, PENCIL, SILVER MEDAL",0,0,0
74,"APPRECIATE, DIG, FANCY, LIKE, HIT, SENSATION, SMASH, SUCCESS, BUTTON, HAT, SHIRT, STICKER, CAT, EDITOR, PASTE, THAT",1,3,1
75,"CHINATOWN, DUMBO, MANHATTAN, WALL STREET, BE KIND REWIND, E.T., FRIGHT NIGHT, KILL BILL, HEDWIG AND THE ANGRY INCH, MY LEFT FOOT, THE GREEN MILE, THE LONGEST YARD, BEETLEJUICE, FOXY BROWN, DOGMA, OCTOPUSSY",0,0,0
76,"BI, BUY, BY, BYE, AB, PEC, QUAD, TRI, DUB, EMO, POP, TRAP, HI, LO, MED, OFF",0,0,0
77,"CRUX, ESSENCE, HEART, SUBSTANCE, BAROQUE, COMPLEX, ELABORATE, INVOLVED, ARROW, BULLET, CHECKBOX, HYPHEN, ANGRY, BETRAY, CRUCIFIX, HYBRID",2,3,2
78,"BITTER, SALTY, SORE, UPSET, PEPPER, SCATTER, SPRINKLE, STREW, CAKE, EARTH, ONION, PLYWOOD, BAKED, COUCH, HOT, SWEET",0,0,0
79,"ABSORB, ENGROSS, HOLD, RIVET, FILM, RECORD, SHOOT, TAPE, PASTEL, PETALS, PLEATS, STAPLE, GOOD, PENNY, PLEASE, WOMAN",0,0,0
80,"CONCEIVE, ENVISION, IMAGINE, PICTURE, COAT, FILM, LAYER, SKIN, BRUSH, FLICK, SWEEP, WIPE, CODE, DEVELOP, HACK, PROGRAM",4,10,1
81,"DRIVE, PROMPT, PROPEL, PUSH, DRAW, REVERSE, SKIP, WILD, BASEBALL, GRAPEFRUIT, MARBLE, PEA, COURTROOM, DUGOUT, GYM, PARK",0,0,0
82,"COOL, NICE, SICK, SWEET, KIND, SORT, STYLE, TYPE, DRIFT, IDEA, MESSAGE, POINT, RING, STICK, TENDER, WING",2,3,0
83,"CLEAR, EARN, MAKE, NET, BEARD, HAT, ROBE, STAFF, BRIDGE, DECK, HATCH, KEEL, CLEF, SECTION, SPAN, SUITE",1,1,0
84,"LASER, PLUCK, THREAD, WAX, COIL, SPOOL, WIND, WRAP, HONEYCOMB, ORGANISM, SOLAR PANEL, SPREADSHEET, BALL, MOVIE, SCHOOL, VITAMIN",0,0,0
85,"FOLLOWERS, LEMMINGS, PUPPETS, SHEEP, EQUITY, OPTIONS, SHARES, STOCKS, BILLINGS, BUFFALO, MOBILE, PHOENIX, APARTMENT, INSULTS, LIKES, SHOVELS",1,2,1
86,"HURRY, NOW, PRONTO, STAT, CURRENT, DRIFT, TIDE, WAVE, CURL, FLY, PRESS, ROW, LOCK, MARKS, PANE, RUSTLE",0,0,0
87,"BODY, CANON, OEUVRE, WORKS, FUJI, HOOD, OLYMPUS, WHITNEY, INSERT, JACKET, RECORD, SLEEVE, HANDS, MARACA, POLAROID, SNOWGLOBE",0,0,0
88,"LOOT, RAID, ROB, SACK, CLOUT, PULL, SWAY, WEIGHT, BOB, CROP, FADE, SHAG, BOBBY, HAIR, PUSH, SAFETY",2,4,2
89,"CHOW, EATS, FARE, GRUB, DIRECT, GUIDE, LEAD, STEER, BULLY, COW, DAUNT, RATTLE, BULL, FLEA, MEAT, STOCK",0,0,0
90,"EASY, FLEXIBLE, OPEN, RECEPTIVE, EVIL, LIVE, VEIL, VILE, AMAZING, BEGINNER, GENIUS, SOLID, LIT, SCENTED, WAXY, WICKED",1,1,1
91,"CHOICE, SAY, VOICE, VOTE, DOWN, HEEL, SHAKE, SPEAK, FLAT, NATURAL, QUARTER, WHOLE, PUMP, STEAM, TIRE, WAFFLE",0,0,0
92,"GRIDDLE, KETTLE, PAN, POT, FRILL, FRINGE, RUFFLE, TRIM, LAY, PLACE, PUT, SET, GEEZ, SEIZE, TEASE, WISE",2,4,1
93,"BANNER, BILLBOARD, POSTER, SIGN, FIRST, INITIAL, MAIDEN, PREMIER, BACK, CHAMPION, ENDORSE, SUPPORT, HERE, THEME, USE, WEE",4,10,3
94,"DRAIN, DUCT, PIPE, SEWER, CHEESE, CORN, SAP, SCHMALTZ, EGG, KNUCKLES, SMILE, WINDOW, CHUMP, CLIMATE, LOOSE, SEA",0,0,0
95,"EXPLOIT, LEVERAGE, MILK, USE, DONE, OVER, THROUGH, UP, CITY, COPY, CULTURE, SPORTS, HEYDAY, HIJINKS, SUPPER, YOGURT",0,0,0
96,"HEAD, KNEES, SHOULDERS, TOES, AUTO, RIDE, WHEELS, WHIP, PARES, PEELS, SHELLS, SHUCKS, BEES, CAFFEINE, GOSSIP, INTERCOMS",1,3,1
97,"BIT, DASH, PINCH, TOUCH, BUY, DEAL, STEAL, VALUE, BALL, CHALK, CUE, RACK, FACE, MAC, MATCH, POCKET",1,1,1
98,"CHARM, HEX, MAGIC, SPELL, INSTRUMENT, PAWN, PUPPET, TOOL, CAPE, MASK, TIGHTS, UNDERWEAR, BAY, CARPENTER, SCOTT, WOO",1,3,0
99,"FLUSH, LOADED, RICH, WEALTHY, CHOP, CUBE, DICE, MINCE, SQUARE, STRAIGHT, STUFFY, TRADITIONAL, BURY, CURRENT, LEACHY, PAIR",2,3,1
100,"BULLDOG, CATFISH, HORSEFLY, TURTLEDOVE, DOGLEG, HAIRPIN, SWITCHBACK, ZAG, CATEGORIES, CHARADES, FISHBOWL, WEREWOLF, CLOCK, MATTRESS, MOUSETRAP, TRAMPOLINE",2,6,2
101,"BASE, DIRTY, LOW, VILE, CONTACT, MESSAGE, PING, TEXT, FRUIT, PITCHER, SKULL, TABLECLOTH, BATTER, CAN, GARDEN, PONG",1,2,1
102,"PIC, SHOT, SNAP, STILL, CINCH, ICE, LOCK, SECURE, BREEZE, COAST, GLIDE, SAIL, PICNIC, SECURITY, THROW, WET",1,3,0
103,"ACT, BILL, MEASURE, RESOLUTION, MEADOW, PLAIN, PRAIRIE, SAVANNA, DIRECT, FRANK, OPEN, STRAIGHT, AURA, BUCK, DOGE, HODA",2,5,2
104,"DRAFT, OUTLINE, PLAN, SKETCH, DINE, FEAST, FEED, SUP, ELLA, ME, SUS, YO, FIT, JIM, PICKINGS, SHADY",0,0,0
105,"BRAND, COLLECTION, LABEL, LINE, DODGE, HIDE, HOP, TAG, BUNNY, DUCK, MARTIAN, PIG, GREECE, HARE, KATZ, MAIM",0,0,0
106,"KID, NEEDLE, RIB, TEASE, CHUCK, FLANK, LOIN, ROUND, MIA, OMG, PIN, RAM, LIBRE, MAMA, MULE, SLING",0,0,0
107,"HEADLINER, LEAD, PRINCIPAL, STAR, CROSS, GARLIC, SILVER, SUN, CRACKED, LAMPOON, MAD, ONION, MED, MUSIC, SANDWICH, SODA",0,0,0
108,"BRASS, CHEEK, GALL, NERVE, COLLAR, HALTER, HARNESS, LEAD, CAROUSEL, GLOBE, RECORD, TOP, FERRY, MERCURY, NICKS, PLANT",1,3,1
109,"CAP, CORK, LID, TAB, PERIOD, SPELL, STRETCH, TIME, CHECK, CONTAIN, CURB, LIMIT, BILL, EGG, FUR, VENOM",1,2,0
110,"BRICK, CHERRY, ROSE, RUBY, DROP, SPLASH, SPOT, SPRINKLE, BEST, CREAM, PICK, TOP, BIRD, BUBBLE, MUD, SPONGE",2,3,1
111,"BUN, HERO, ROLL, WRAP, CHOPS, KISSER, TRAP, YAP, BOB, CLAP, SNAP, TAP, APPLAUSE, DRINKS, FUNDING, GOLF",1,2,1
112,"COUPLE, JOIN, LINK, TIE, BOTHER, HANDFUL, PAIN, PEST, FEW, MANY, SEVERAL, SOME, FOOL, LOVERS, MAGICIAN, TOWER",0,0,0
113,"BENEFIT, FRUIT, RETURN, REWARD, EGG, EVERYTHING, PLAIN, POPPY, ACT, DIRECT, PRODUCE, WRITE, FRANK, MUM, VAMP, WERE",0,0,0
114,"FANCY, LOVE, RELISH, SAVOR, LIKE, LITERALLY, UM, WELL, CYLINDER, PIN, SPRING, TUMBLER, CARROT, HURTS, JEWEL, OM",0,0,0
115,"BAR, CLUB, DISCO, LOUNGE, DITCH, DROP, LOSE, SHED, FATHOM, FOOT, LEAGUE, YARD, BAKE, CLEARANCE, GARAGE, SAMPLE",1,2,1
116,"ACE, CRACKERJACK, EXPERT, HOTSHOT, CHOCK, JACK, TIRE, WRENCH, GLADIATOR, HER, JOKER, SIGNS, POPCORN, RAPTURE, ROCKETRY, SOULMATE",1,1,0
117,"BUTTON, FLY, POCKET, RIVET, LINE, PLANE, POINT, SOLID, FILE, HISTORY, VIEW, WINDOW, ANIMAL, DOOR, KINK, SUPREME",0,0,0
118,"AIOLI, BARBECUE, MARINARA, RANCH, EXAMINE, GRILL, PROBE, QUESTION, BILL, INVOICE, RECEIPT, STATEMENT, ANCESTRY, BROTH, CATTLE, MERCHANDISE",3,9,3
119,"BRIDGE, CRUNCH, DIP, SQUAT, BOUNTY, COWBOY, DUEL, SALOON, CARTER, GORE, KING, TUTU, BUSY, HONEY, QUEEN, SPELLING",0,0,0
120,"DEEP, EXTREME, FIERCE, INTENSE, BUMP, BUTT, KNOCK, RAM, FUZZ, NOISE, SNOW, STATIC, BLOODY, HAIL, PROUD, VIRGIN",0,0,0
121,"ACCEPT, BELIEVE, BUY, SWALLOW, OUTAGE, SHORT, SPIKE, SURGE, ABSTRACT, BRIEF, DIGEST, OUTLINE, CURT, HAIRY, KNEEL, WANE",0,0,0
122,"ELEGANCE, GRACE, STYLE, TASTE, BAKE, BASK, SUN, TAN, AFFECT, IMPACT, MOVE, TOUCH, SEN, SIGHT, SINE, SOUR",0,0,0
123,"BEAKER, DROPPER, GOGGLES, MICROSCOPE, CENTER, HEART, HUB, NUCLEUS, CELL, FORMULA, SHEET, SORT, BODY, LOVE, ROMANCE, SIGN",1,1,1
124,"CILANTRO, LIME, ONION, SALSA, KILO, MEGA, MICRO, PICO, MINI, PENCIL, POODLE, WRAP, CAPITOL, FAITH, FOOT, MOLE",1,1,0
125,"BOOT, BOUNCE, EJECT, TOSS, EARTH, GROUND, LAND, SOIL, BALTIC, BLACK, PHILIPPINE, RED, BIG, PHILADELPHIA, SPLASH, SULLY",2,4,0
126,"BUD, CHUM, MATE, PAL, COLD, DANK, DARK, MUSTY, FUZZ, SCRUFF, SHADOW, WHISKERS, FUND, KITTY, POOL, POT",2,3,1
127,"EXAMPLE, IDEAL, MODEL, SYMBOL, CAR, CONDUCTOR, STATION, TRACK, CYMBAL, SCIMITAR, SIMMER, SYMPHONY, DRUM, MARK, WAX, WIG",0,0,0
128,"BUNK, CROCK, HOGWASH, HORSEFEATHERS, BATON, HAMMER, HURDLE, POLE, GOATEE, HORNS, PITCHFORK, TAIL, BEND, BOWLINE, HITCH, SHEEPSHANK",0,0,0
129,"ADHERE, GLUE, PASTE, STICK, COPY, TEXT, WORDS, WRITING, CARAT, CLARITY, COLOR, CUT, LIST, OK, PLUS, ROD",0,0,0
130,"CURB, GRATE, GUTTER, MANHOLE, AIM, INTEND, MEAN, PLAN, CAL, GAL, IN, OZ, FLEECE, GIRLS, PARACHUTE, RULE",1,1,0
131,"COLUMN, PILLAR, POLE, POST, FOLLOW, MIND, OBSERVE, REGARD, INTEREST, PERCENTAGE, SHARE, STAKE, DIRT, INFORMATION, INTELLIGENCE, SECRETS",1,2,1
132,"FLOOR, ROCK, SHOCK, SURPRISE, ARTICLE, FEATURE, REPORT, STORY, EVEN, FLAT, FLUSH, LEVEL, BALCONY, BOX, ORCHESTRA, STAGE",2,5,0
133,"AD-LIB, FREESTYLE, IMPROV, MAKE UP, BABBLE, COO, CRAWL, NURSE, COSMETIC, EXTERNAL, SHALLOW, SURFACE, BUTTERFLY, DOMINO, PLACEBO, SIDE",0,0,0
134,"RIP, TEAR, WRENCH, YANK, DRILL, EXERCISE, PRACTICE, ROUTINE, AMERICAN, FRONTIER, SPIRIT, UNITED, FRIAR, MONKEY, SUNDRY, WEDDING",4,10,2
135,"CLOWN, RING, TENT, TRAPEZE, LION, SCARECROW, WITCH, WIZARD, HAIR, MAKEUP, PROPS, WARDROBE, JOKER, LOVER, SINNER, SMOKER",4,10,3
136,"CLEAN, NEAT, TIDY, TRIM, HYPER, SUPER, UBER, ULTRA, BALLOON, MUSHROOM, SNOWBALL, SWELL, DOMINO, JACK, MARBLE, STICK",2,3,0
137,"BOWL, BUZZ, CREW, PIXIE, COMPASS, RULER, SCALE, WATCH, CHANNEL, LINE, MAIN, PIPE, CLOWN, COLONEL, KING, MERMAID",0,0,0
138,"CHAIR, CHIEF, DIRECTOR, HEAD, FIELD, GREEN, GROUNDS, LAWN, CHEST, COCO, HAZEL, PEA, BROWN, DOGS, FICTION, UNCHAINED",0,0,0
139,"EXTENT, RANGE, REACH, SCOPE, BRUSH, COMB, DRYER, IRON, ARMS, COAT, CREST, SHIELD, EAR, KETTLE, OIL, STEEL",0,0,0
140,"FLASH, HEARTBEAT, JIFF, WINK, CLASH, SCRAP, TANGLE, TIFF, JACK, LOVE, SQUAT, ZIP, CANE, MONOCLE, SPAT, TOP HAT",0,0,0
141,"DUMP, MESS, PIGPEN, STY, FIRM, SOLID, SOUND, STABLE, CARAMEL, PEANUTS, POPCORN, PRIZE, CHARLEY, CRAZY, DARK, GIFT",1,1,1
